symbol,fiscaldate_end,reported_currency,gross_profit,total_revenue,costof_revenue,costof_goodservices_sold,operating_income,selling_gen_admin,research_dev,operating_expenses,investment_income_net,netInterestIncome,interest_income,interest_expense,noninterest_income,othernon_operatingincome,depreciation,dpr_and_amort,income_beforetax,incometax_expense,interest_debt_expense,netincome_cont_operations,comprehensive_income_netoftax,ebit,ebitda,netincome
AKRO,6/30/2019,USD,0,0,0,0,-7609000,1649000,5960000,7609000,0,0,0,0,0,0,0,0,-7228000,0,0,-7228000,0,-7609000,0,-7228000
AKUS,6/30/2020,USD,0,0,0,0,-12601000,2664000,9937000,12601000,0,80000,80000,0,0,0,0,0,-12523000,0,0,-12523000,0,-12072000,0,-12523000
ALEC,12/31/2018,USD,-14952000,9145000,24097000,24097000,-19017000,4065000,24097000,28162000,0,0,0,0,0,1644000,0,276000,-17373000,0,0,-17373000,-17275000,-19017000,-18741000,-17373000
ALGM,9/30/2020,USD,55701000,115001000,59300000,59300000,12402000,26789000,25130000,124247000,0,350000,0,0,0,0,0,0,11700000,2082000,0,9618000,0,15939000,0,9584000
ALGS,9/30/2020,USD,0,0,0,0,-21557000,4225000,17332000,21557000,0,234000,234000,0,0,0,0,0,-33297000,0,0,-33297000,0,-20672000,0,-33297000
ALUS,12/31/2019,USD,0,0,0,0,-114583,114583,0,114583,0,0,0,0,0,0,0,0,216198,0,0,216198,0,-114583,0,216198
ALVR,6/30/2020,USD,0,0,0,0,-12153000,3268000,8885000,12153000,0,166000,166000,0,0,0,0,0,-11632000,0,0,-11632000,0,-12134000,0,-11632000
AMHC,12/31/2019,USD,0,0,0,0,-135300,136300,0,0,0,0,154570,0,0,0,0,0,19270,16230,0,0,0,0,0,3040
AMK,6/30/2019,USD,35774000,104483000,68709000,68709000,10557000,17604000,0,93926000,0,-4031000,-4031000,4031000,0,0,0,7613000,6526000,3289000,0,3237000,3237000,10557000,18170000,3237000
AMST,9/30/2020,USD,0,110109,0,0,-1472446,1114792,467763,1582555,0,-3613818,13,3613831,0,0,0,0,-5086264,0,0,-5086264,0,-1311459,0,-5086264
AMTI,6/30/2020,USD,0,0,0,0,-15323000,2487000,12836000,15323000,0,48000,48000,0,0,0,0,0,-15379000,0,0,-15379000,0,-14958000,0,-15379000
AMWL,9/30/2020,USD,20435000,62551000,42116000,42116000,-64287000,56871000,25275000,126838000,0,255000,255000,0,0,0,0,0,-64032000,78000,0,-64596000,0,-61711000,0,-63081000
ANDA,12/31/2018,USD,0,0,0,0,-14772,14772,0,14772,0,0,0,0,0,0,0,0,-7490,0,0,-7490,0,-14772,0,-7490
ANNX,6/30/2020,USD,0,0,0,0,-12237000,2950000,9287000,12237000,0,0,0,0,0,0,0,0,-12236000,4000,0,-12240000,0,-12106000,0,-12240000
ANPC,12/31/2019,CNY,951000,2732000,1781000,1781000,-25018000,23503000,2701000,27750000,0,-712000,0,712000,0,0,0,0,-33253000,-331000,0,-32922000,0,-31801000,0,-32555000
ANVS,12/31/2019,USD,0,0,0,0,-135887,108780,762182,135887,0,-12369,0,-12369,0,0,0,0,-201256,0,0,-201256,0,-109387,0,-201256
API,6/30/2020,USD,24478072,35560435,11082363,11082363,3069000,9547384,10919000,-23259,0,120000,120000,0,0,0,0,0,3196000,190000,0,3006000,0,4017466,0,3006000
APLT,3/31/2019,USD,0,0,0,0,-8729000,1855000,6874000,8729000,0,-1000,-1000,-1000,0,0,0,0,-8730000,0,0,-8730000,0,-8729000,0,-8730000
APSG,9/30/2020,USD,0,0,0,0,-10000,10000,0,10000,0,0,0,0,0,0,0,0,-10000,0,0,-10000,0,-10000,0,-10000
AREC,3/31/2019,USD,6994276,6994276,0,9257380,-9891406,1372588,1600117,16885682,0,-283683,41171,324854,7362925,-174214,816916,0,-14565190,0,324854,-10065620,-10065620,-9891406,0,-10065620
ARQT,12/31/2019,USD,0,0,0,0,-12994000,2237000,10757000,12994000,0,0,0,0,0,0,0,0,-12568000,0,0,-12568000,0,-12843000,0,-12568000
ARRY,9/30/2020,USD,26731000,139462000,112731000,112731000,-5107000,11873000,0,31838000,0,-673000,0,673000,0,-29000,600000,6374000,-5809000,1423000,0,-7232000,0,-5107000,1267000,-7232000
ARYA,6/30/2020,USD,0,0,0,0,-11717,11717,0,11717,0,0,0,0,0,0,0,0,-11717,0,0,-11717,0,-11717,0,-11717
ASAN,10/31/2020,USD,51584000,58905000,7321000,7321000,-61934000,80522000,32996000,120839000,0,-10740000,0,10740000,0,0,0,0,-72674000,615000,0,-73289000,0,-60942000,0,-73289000
ASO,10/31/2020,USD,496501000,1606420000,1109919000,1109919000,81556000,312713000,0,1267520000,0,-22399000,0,22399000,0,0,0,0,58393000,-1193000,0,59586000,0,184416000,0,59586000
ATAC,9/30/2020,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATHA,9/30/2020,USD,0,0,0,0,-7397000,1567000,5830000,7397000,0,35000,35000,0,0,0,0,0,-8456000,0,0,-8456000,0,-7815000,0,-8456000
ATIF,4/30/2019,USD,322996,322996,0,0,-452319,775315,0,775315,0,0,0,0,0,0,0,0,-446317,-71157,0,-375159,0,-452319,0,-375159
AUVI,9/30/2020,USD,78178,1560633,1482455,1482455,-894967,925108,48037,2455600,0,0,0,0,0,0,0,0,-894732,0,0,-894732,0,-885785,0,-894732
AVIR,9/30/2020,USD,0,0,0,0,-17629000,4028000,13601000,17629000,0,7000,7000,0,0,0,0,0,-17622000,0,0,-17622000,0,-17624000,0,-17622000
AVO,10/31/2020,USD,39513000,206773000,167260000,167260000,22691000,16822000,0,184082000,0,-705000,534000,1239000,0,0,0,0,23327000,4569000,0,18758000,0,30031000,0,18758000
AVTR,6/30/2019,USD,491100000,1532400000,1041300000,1041300000,119100000,372000000,0,1413300000,0,-115100000,-100800000,115100000,0,15600000,0,103000000,-50600000,-1900000,0,-48700000,-37300000,119100000,222100000,-48700000
AYLA,3/31/2020,USD,0,1001000,1001000,1001000,-6439000,1311000,5128000,7440000,0,-38000,-38000,0,0,0,0,0,-6477000,121000,0,-6598000,0,-6386000,0,-6598000
AZEK,6/30/2020,USD,75123000,223711000,148588000,148588000,7970000,65164000,1700000,65164,0,-25148000,0,25148000,0,0,12700000,0,-54716000,-2600000,0,-52116000,-52116000,7970000,0,-52116000
BCOW,12/31/2018,USD,3995000,3995000,0,0,3962782,32218,0,46218,0,3319000,4504000,1185000,662000,0,175000,0,68000,9000,1185000,59000,433000,3962782,0,59000
BCYC,6/30/2019,USD,-5015000,1522000,6537000,6537000,-7988000,2973000,6537000,9510000,0,90000,90000,0,0,0,0,0,-10082000,135000,0,-10217000,0,-7758000,0,-10217000
BDSX,9/30/2020,USD,5302000,9193000,3891000,3891000,-6240000,7879000,2706000,15433000,0,-2658000,0,2658000,0,53000,200000,0,-8845000,0,0,-8845000,0,-6240000,0,-8845000
BDTX,12/31/2019,USD,0,0,0,0,-10344000,2884000,7460000,10344000,0,440000,440000,0,0,0,0,0,-9875000,0,0,-9875000,0,-3940000,0,-9875000
BEAM,12/31/2019,USD,0,6000,0,0,-26371000,6160000,20217000,26377000,0,385000,504000,119000,0,0,1002000,0,-27850000,0,0,-27850000,-27882000,-26371000,0,-27850000
BEKE,6/30/2020,CNY,4383230000,20548915000,16165685000,16165685000,3435050000,3675157000,523670000,16706609000,0,58486000,105005000,39926000,0,0,0,0,3620528000,781715000,0,2838813000,0,-149197000,0,2836568000
BFT,9/30/2020,USD,0,0,0,0,-123513,123513,0,123513,0,126374,126374,0,0,0,0,0,2861,19538,0,-16677,0,-123513,0,-16677
BHAT,6/30/2019,USD,2222834,3176565,953732,953732,1268818,857868,96148,1907748,0,-19451,32,18759,0,0,0,0,1143746,55447,0,1088299,0,1162505,0,1088299
BHSE,9/30/2020,USD,0,0,0,0,-50,50,0,50,0,0,0,0,0,0,0,0,-50,0,0,-50,0,-50,0,-50
BIGC,6/30/2020,USD,28479000,36316000,7837000,7837000,-7383000,24517000,11345000,35862000,0,-1135000,17000,1152000,0,40000,0,0,-8478000,3000,0,-8481000,-8481000,-7383000,0,-8481000
BLCT,6/30/2020,CNY,77182914,247439121,170256207,170256207,-5450987,51297668,31336233,252890108,0,1945683,1945683,0,0,0,0,0,-3505691,-155928,0,-3349763,0,-5450600,0,-3349763
BNL,9/30/2020,USD,80744000,80744000,-15000,4187000,14926000,7214000,0,65061000,0,-18511000,-18511000,18511000,-392000,0,0,31363000,9840000,129000,18903000,15988000,12634000,14926000,46289000,8750000
BNR,6/30/2020,CNY,78398000,106971000,28573000,28573000,-73042000,80264000,71176000,180013000,0,1983000,44000,-1939000,0,0,0,0,-71055000,0,0,-71055000,0,-72876000,0,-71055000
BNTX,9/30/2019,EUR,24432000,28662000,4230000,4230000,-36874000,11252000,50396000,65536000,0,6779000,7294000,433000,0,0,0,0,-30095000,8000,0,-30103000,0,-21170000,0,-30103000
BORR,6/30/2019,USD,54900000,86600000,31700000,31700000,-40500000,14000000,0,127100000,0,-28200000,200000,20100000,0,0,0,0,-100700000,2500000,0,-103200000,0,-24000000,0,-103200000
BQ,9/30/2020,CNY,42635000,229190000,186555000,186555000,-34183000,77076000,0,263373000,0,-1929000,6374000,6416000,0,0,0,0,-26930000,500000,0,-27450000,0,-35426000,0,-28067000
BRBR,9/30/2019,USD,76700000,214500000,137800000,137800000,36000000,35100000,0,178500000,0,0,0,-11600000,0,0,0,0,36000000,9300000,0,26700000,0,36000000,0,26700000
BSY,9/30/2020,USD,160369000,202997000,42628000,42628000,5323000,74830000,50217000,155046000,0,-1934000,41000,1975000,0,13741000,0,0,16549000,10705000,0,5844000,5037000,5323000,0,5844000
BWAY,3/31/2019,USD,4024000,5182000,1158000,1158000,-1609000,3841000,1792000,6791000,0,-236000,-236000,-236000,0,0,0,0,-1845000,62000,0,-1907000,0,-1253000,0,-1907000
CABA,9/30/2019,USD,0,0,0,0,-5031000,1811000,3220000,5031000,0,381000,381000,0,0,0,0,0,-4650000,0,0,-4650000,0,-4999000,0,-4650000
CALT,6/30/2020,SEK,0,0,0,0,-66562000,18797000,48386000,66562000,0,5303000,0,0,0,0,0,0,-61259000,67000,0,-61326000,0,-66562000,0,-61326000
CAN,12/31/2019,USD,-673429000,463247000,1136676000,1136676000,-800263000,62217000,63609000,127739000,0,398000,1793000,1395000,0,0,0,0,-798211000,0,0,-798211000,0,-795607000,0,-798211000
CAPA,9/30/2020,USD,0,0,0,0,-50637,50637,0,50637,0,384,384,0,0,0,0,0,-50253,0,0,-50253,0,-50637,0,-50253
CAP,12/31/2020,USD,0,0,0,0,-147070,147070,0,147070,0,0,12580,0,0,0,0,0,-134490,0,0,-134490,0,-147070,0,-134490
CCAC,12/31/2019,USD,0,0,0,0,-22966,22966,0,22966,0,0,0,0,0,0,0,0,-22966,0,0,-22966,0,-22966,0,-22966
CDAK,9/30/2020,USD,0,954000,0,0,-35028000,5342000,30640000,35982000,0,-603000,4000,607000,0,0,0,0,-35293000,0,0,-35293000,-35293000,-35028000,0,-35293000
CD,9/30/2020,CNY,190327000,467484000,277157000,277157000,-93244000,271058000,12513000,560728000,0,-54635000,6280000,60915000,0,0,0,0,-157243000,16454000,0,-173697000,0,17249000,0,-173697000
CERT,12/31/2020,USD,29736000,64641000,34905000,34905000,-53520000,62786000,10505000,118161000,0,-5486000,0,5486000,0,0,0,0,-59927000,-5480000,0,-54447000,0,-43328000,0,-54447000
CFAC,9/30/2020,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-505,0,0,-505,0,0,0,-505
CGRO,3/31/2020,USD,0,0,0,0,-908,908,0,908,0,0,0,0,0,0,0,0,-908,0,0,-908,0,-908,0,-908
CHAQ,3/31/2020,USD,0,0,0,0,-16923,16923,0,16923,0,0,0,0,0,0,0,0,-16923,0,0,-16923,0,-16923,0,-16923
CHWY,5/31/2019,USD,272235000,1153545000,881310000,881310000,-83080000,355315000,0,1236625000,0,204000,0,0,0,0,0,0,-82876000,0,0,-82876000,0,-75450000,0,-82876000
CLEU,3/31/2020,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24338,0,0,0,0,0,0
CMBM,6/30/2019,USD,34312000,69151000,34839000,34839000,-9394000,27290000,15189000,78545000,0,-2301000,-2357000,2301000,0,0,0,0,-11751000,8623000,0,-20374000,0,-8057000,0,-20374000
CMPI,6/30/2020,USD,0,0,0,0,-8271000,1795000,6476000,8271000,0,6000,6000,0,0,0,0,0,-8348000,0,0,-8348000,0,-8271000,0,-8348000
CMPS,9/30/2020,USD,0,0,0,0,-13482000,6607000,6875000,13482000,0,0,0,0,0,0,0,0,-16612000,82000,0,-16694000,0,-9124000,0,-16694000
CNSP,9/30/2019,USD,0,0,0,0,-699094,420191,278903,699094,0,-7561,-7560,7561,0,0,0,0,-706655,0,0,-706655,0,-698396,0,-706655
CNTG,9/30/2019,EUR,4997000,11638000,6641000,6641000,-3375000,6672000,2011000,7840000,0,-1433000,0,1433000,0,0,0,0,-4276000,0,0,-4276000,0,-4097000,0,-4276000
CRSA,3/31/2019,USD,0,0,0,0,-85740,85740,0,85743,0,0,302660,0,0,0,0,0,216920,45552,0,171366,0,-85743,0,171370
CRSR,9/30/2020,USD,127944000,457103000,329159000,329159000,49721000,65321000,12902000,78223000,0,-10170000,0,10170000,0,-10147000,0,0,39574000,3217000,0,36357000,39426000,49721000,0,36357000
CRTX,3/31/2019,USD,0,0,0,0,-6075000,1250000,4825000,6075000,0,394000,394000,0,0,394000,0,0,-5681000,0,0,-5681000,0,-5662000,0,-5681000
DADA,6/30/2020,CNY,222918000,1323049000,1100131000,1100131000,-471911000,551052000,128601000,1794960000,0,13172000,15286000,2114000,0,0,0,0,-458739000,-1253000,0,-457486000,0,-456625000,0,-457486000
DAO,9/30/2019,CNY,89234000,345908000,256674000,256674000,-234742000,249047000,74929000,580650000,0,-4071000,-4071000,-0.01,0,0,0,0,-229874000,802000,0,-230676000,0,-234742000,0,-231130000
DASH,12/31/2020,USD,501000000,970000000,469000000,469000000,-305000000,566000000,209000000,1275000000,0,-9000000,1000000,10000000,0,0,0,0,-311000000,1000000,0,-312000000,0,-270000000,0,-312000000
DCBO,12/31/2020,USD,15781000,18756000,2975000,2975000,-704000,12501000,3524000,19460000,0,-93000,81000,162000,0,0,0,0,-4159000,-418000,0,-3741000,0,-3537000,0,-3741000
DCRB,9/30/2020,USD,0,0,0,0,-859,0,0,859,0,0,0,0,0,0,0,0,-859,0,0,-859,0,-859,0,-859
DCT,8/31/2020,USD,28679000,58322000,29643000,29643000,-21461000,35512000,14628000,79783000,0,30000,30000,-30000,0,0,0,0,-20806000,673000,0,-21479000,0,-15166000,0,-21610000
DFPH,3/31/2020,USD,0,0,0,0,-87774,38074,0,87774,0,42685,42685,0,0,0,0,0,-45089,0,0,-45089,0,-87774,0,-45089
DNK,12/31/2019,CNY,2015123000,2129348000,114225000,114225000,-837694000,2299510000,50124000,2967042000,0,-83298000,-83298000,99427000,0,0,0,0,-920992000,0,0,-920992000,0,-821565000,0,-919806000
DOYU,6/30/2019,CNY,301050000,1872729000,1571679000,1571679000,-9960000,241103000,84404000,1882689000,0,35166000,35166000,0,0,0,0,0,21440000,0,0,23156000,0,-9960000,0,22276000
DUO,9/30/2019,CNY,198849000,947963000,749114000,749114000,76836000,48614000,73399000,871127000,0,0,0,0,0,0,0,0,80308000,-3.64,0,80308000,0,76836000,0,80308000
EBC,9/30/2020,USD,0,146451000,0,0,0,81195000,0,0,0,98742000,100513000,1771000,0,0,0,0,35934000,7429000,0,28505000,0,0,0,28505000
EBON,6/30/2020,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367524,0,0,0,0,0,0
EDTK,6/30/2020,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872003,0,0,0,0,0,0
EH,12/31/2019,CNY,33196000,54684000,21488000,21488000,2145000,17521000,15468000,52539000,0,-191000,237000,428000,0,0,0,0,476000,627000,0,-156000,0,2679000,0,-1933000
EIC,6/30/2019,USD,1601890,2182000,580110,580110,1480990,86250,0,102810,0,0,-3069160,-258,0,0,0,0,-1588170,0,0,3093388,0,1566590,0,-1588170
ESSC,3/31/2020,USD,0,0,0,0,-94824,0,0,94824,0,792381,792381,0,0,0,0,0,697557,0,0,697557,0,-94824,0,697557
ETNB,9/30/2019,USD,0,0,0,0,-8198000,1518000,6680000,8198000,0,0,0,0,0,0,0,0,-18668000,57000,0,-18725000,0,-8193000,0,-18725000
EXPC,9/30/2019,USD,335856000,-991346000,655490000,655490000,-43053,-126909000,0,-259403000,0,168280,168280,0,0,0,0,0,125227,26088,0,99139,0,-158453000,0,99139
FMTX,6/30/2020,USD,0,0,0,0,-26959000,6448000,20511000,26959000,0,895000,895000,0,0,0,0,0,-28678000,-3238000,0,-25440000,0,-24095000,0,-25440000
FRLN,6/30/2020,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FROG,9/30/2020,USD,31625000,38886000,7261000,7261000,-5399000,26643000,10381000,37024000,0,384000,384000,0,0,0,0,0,-5015000,250000,0,-5265000,-5715000,-5399000,0,-5265000
FSLY,6/30/2019,USD,25389000,46173000,20784000,20784000,-11681000,25826000,11244000,37070000,0,-2128000,861000,2989000,0,-1696000,3900000,0,-15505000,82000,0,-15587000,-15594000,-11681000,0,-15587000
FTHM,6/30/2020,USD,2331965,38688744,36356779,36356779,184457,2147508,0,38504287,0,-32659,0,32659,0,0,0,0,161798,1000,0,160798,0,238953,0,160798
FTIV,9/30/2020,USD,0,0,0,0,-19908,19908,0,19908,0,63,63,0,0,0,0,0,-19845,0,0,-19845,0,-19908,0,-19845
FUBO,9/30/2020,USD,73375000,73375000,0,71006000,-302164000,30538000,10727000,363366000,0,10081000,0,-10081000,63294000,0,100000,14413000,-290188000,-16071000,-12173000,-274117000,-277227000,-302164000,-287751000,-274117000
FUSN,6/30/2020,USD,0,0,0,0,-7261000,3988000,3325000,7261000,0,22000,22000,0,0,0,0,0,-44583000,150000,0,-44733000,0,-1098000,0,-44733000
FUTU,3/31/2019,HKD,175158000,236449000,61291000,61291000,62304000,59429000,0,112854000,0,87448000,107873000,20425000,0,0,0,0,61377000,15836000,0,45541000,0,0,0,45541000
FVRR,6/30/2019,USD,20607000,25912000,5305000,5305000,-9323000,21473000,8457000,29930000,0,-10000,-10000,-10000,0,0,0,0,-9333000,20000,0,-9353000,0,-8413000,0,-9353000
GAN,3/31/2020,USD,5091000,7670000,2579000,2579000,702000,4389000,0,6968000,0,-24000,0,24000,0,0,0,0,678000,145000,0,533000,0,702000,0,533000
GATO,9/30/2020,USD,-594000,0,594000,594000,-3724000,2894000,0,3724000,0,-147000,0,147000,0,0,0,0,-1185000,0,0,-1185000,0,-446000,0,-1185000
GBIO,6/30/2020,USD,0,0,0,0,-17764000,4308000,13456000,17764000,0,33000,0,0,0,0,0,0,-17731000,0,0,-17731000,0,-16939000,0,-17731000
GBS,12/31/2020,USD,0,0,0,0,-917326,858543,341820,917326,0,-986426,434,986860,0,0,0,0,-1990389,0,0,-1990389,0,-1003529,0,-1983964
GFL,3/31/2020,USD,79021000,931324000,852303000,852303000,-76100000,149189000,0,155059000,0,-269409000,-287000000,269409000,0,0,0,0,-365700000,-87726000,0,-277950000,0,-430880000,0,-278000000
GHIV,12/31/2019,USD,0,0,0,0,-17785,16672,0,17785,0,0,0,0,0,0,0,0,-17771,2420,0,-17771,0,-17785,0,-17771
GHLD,9/30/2020,USD,0,562500000,0,0,0,281979000,0,0,0,-1094000,14905000,15999000,0,0,0,0,246309000,64223000,0,182086000,0,0,0,182086000
GHSI,3/31/2019,USD,149046,194464,93492,93492,-1181493,1301511,29028,1330539,0,-17572,-17570,17572,0,0,0,68102,-1388830,0,17572,-977887,-977887,-1181493,-1113391,-1385099
GIX,6/30/2019,USD,0,0,0,0,-181820,181820,0,146624,0,218104,218100,0,0,0,0,0,36280,65082,0,6398,0,-146624,0,-28800
GLEO,9/30/2019,USD,0,0,0,0,-18915,18915,0,18915,0,0,0,0,0,0,0,0,-18915,0,0,-18915,0,-18915,0,-18915
GLSI,9/30/2020,USD,0,0,0,0,-256865,98834,158031,256865,0,0,0,0,0,0,0,0,-256865,0,0,-256865,0,-255962,0,-256865
GLTO,9/30/2020,USD,0,0,0,0,-10166000,2515000,7651000,10166,0,0,0,0,0,0,0,0,-11651000,0,0,-11651000,0,-10084000,0,-11651000
GNFT,3/31/2019,USD,2678500,2678500,0,0,-22969000,6201000,19449500,25647500,0,0,0,-2834500,0,0,0,0,-25710500,-144500,0,-25566000,0,-22969000,0,-25566000
GNLN,3/31/2019,USD,8986785,49897604,40910819,40910819,-5163541,13466000,0,14150326,0,-601880,-12665000,601880,0,-12489143,357000,684077,-17652684,11665,0,-17664349,0,-5163541,-4479464,-17664349
GNRS,12/31/2019,USD,0,0,0,0,-2200,0,0,0,0,0,0,0,0,0,0,0,-2200,0,0,0,0,0,0,-2200
GOED,6/30/2020,USD,2599873,15285031,12685158,12685158,-60230,2568313,0,15345261,0,-762919,1062,234908,0,0,0,0,-4705781,-688953,0,-4016828,0,-493571,0,-4016828
GP,9/30/2020,USD,883719,2835411,1951692,1951692,-836392,1346556,235699,3671803,0,-505589,0,505589,0,0,0,0,-1486160,0,0,-1486160,0,-863100,0,-1486160
GRAY,9/30/2020,USD,0,0,0,0,-6821000,2064000,4757000,6821000,0,3000,3000,0,0,0,0,0,-4716000,0,0,-4716000,0,-6725000,0,-4716000
GRCY,6/30/2020,USD,0,0,0,0,-1203,1203,0,1203,0,0,0,0,0,0,0,0,-1203,0,0,-1203,0,-1203,0,-1203
GRIL,12/31/2019,USD,-1615698,-337941,1277757,1415340,-883615,676032,0,2837404,0,-1615698,0,1615698,-3681248,-2841,74235,90318,-23010130,0,1615698,-23010130,-23010130,-883615,-793297,-23010130
GRNV,12/31/2019,USD,0,0,0,0,-107938,107938,0,107938,0,93286,93286,0,0,0,0,0,-16303,0,0,-12879,0,-107938,0,-12879
GSAH,6/30/2020,USD,0,0,0,0,-58661,58661,0,58661,0,0,0,0,0,0,0,0,-58661,-12262,0,-46399,0,-58661,0,-46399
GSX,6/30/2019,CNY,439600000,622834000,183234000,183234000,58953000,309077000,41128000,380647000,0,3990000,5106000,0,0,0,0,0,64683000,4539000,0,16374000,0,69928000,0,50265000
GTH,6/30/2020,CNY,64223000,101735000,37512000,37512000,-52876000,88524000,29845000,-1270000,0,-629000,198000,827000,0,0,0,0,-2832363000,0,0,-2832363000,0,-2831269000,0,-2832363000
HAPP,9/30/2019,USD,32247070,63936190,31689120,31689120,9822250,8242490,567253,10404190,0,0,-13050,-21443,0,0,0,0,9904450,740577,0,4211649,0,22217890,0,8423300
HARP,12/31/2018,USD,-7655000,1063000,8717000,8717000,-9869000,2215000,8717000,10932000,0,0,0,0,0,-8000,0,300000,-9731000,0,0,-9731000,-9732000,-9869000,-9569000,-9729000
HCDI,9/30/2020,USD,622600,7806500,7183900,7183900,-835600,0,0,8642100,0,-163900,0,163900,0,0,0,0,-1011900,-571600,0,-440300,0,-636200,0,-437100
HHR,3/31/2019,RUB,1198300000,1678400000,480200000,480200000,579793000,436500000,0,618400000,0,-141623000,26207000,167830000,0,0,0,0,415529000,176782000,0,238747000,0,387000000,0,209391000
HKIB,6/30/2019,HKD,286727894,196022160,25639284,25639284,258668974,28003280,0,53698204,0,-5433843,110927830,5417177,0,0,0,0,252684655,33013010,0,219671645,0,363612490,0,219671645
HOTH,3/31/2019,USD,0,0,0,0,-829370,621990,144750,829365,0,0,0,0,0,0,0,0,-829370,0,0,-829365,0,-829063,0,-829370
HRMY,9/30/2020,USD,37719000,45609000,7890000,7890000,10380000,23109000,4230000,35229000,0,-6946000,0,6946000,0,0,0,0,1909000,0,0,1909000,0,10822000,0,1909000
HUIZ,12/31/2019,CNY,97827000,258263000,160436000,160436000,-7757000,95904000,11825000,108172000,0,-1521000,115000,-75000,0,0,0,0,-7774000,-319000,0,-7545000,0,-6688000,0,-7545000
IBEX,6/30/2020,USD,31871000,100880000,69009000,69009000,2303000,15313000,0,8019000,0,-2238000,0,-4737000,0,0,0,0,-2972000,833000,0,-3805000,0,-1697000,0,-3805000
IGMS,9/30/2019,USD,-4323000,0,4323000,4323000,-10673000,2394000,8279000,10673000,0,0,0,0,0,0,0,0,-10172000,0,0,-10172000,0,-9313000,0,-10172000
IHRT,6/30/2019,USD,636448000,913320000,276872000,276872000,177619000,384061000,0,735701000,0,0,0,-69711000,0,0,0,0,9601122000,116292000,0,9484830000,0,177619000,0,11337317000
IH,9/30/2020,CNY,107555000,156902000,49347000,49347000,13541000,38149000,55865000,143361000,0,0,0,0,0,0,0,0,17370000,6737000,0,10633000,0,13541000,0,10633000
IMAB,12/31/2019,CNY,0,30000000,0,0,-333471000,654553000,262038000,333471000,0,7217000,7742000,525000,0,0,0,0,-348570000,0,0,-348570000,0,-1413367000,0,-348570000
IMNM,9/30/2020,USD,0,0,0,0,-2818000,1174000,1644000,2818000,0,-10000,0,10000,0,0,0,0,-8377000,0,0,-8377000,0,-2641000,0,-8377000
IMRA,3/31/2020,USD,0,0,0,0,-7352000,1559000,5793000,7352000,0,132000,132000,0,0,0,0,0,-7215000,0,0,-7215000,0,-7328000,0,-7215000
INBX,9/30/2020,USD,0,5901000,0,0,-15558000,1622000,19837000,21459000,0,-4428000,0,4428000,0,0,0,0,-20010000,0,0,-20497000,0,-15558000,0,-20497000
